row_id	manifest_index	file	symbol_lines	change_type	cluster_id	req_ids	classification	classification_signal	test_evidence	notes
LH0011	008	beacon_node/beacon_chain/src/beacon_chain.rs	removal of blob gossip verify/process/import; EngineGetBlobsOutput->columns; RPC blob parent-root loop; blob_data_available via is_payload_received	modified	C6	NONE	LH-arch-choice	Removes verify_blob_sidecar_for_gossip/process_gossip_blob/check_gossip_blob_availability_and_import, collapses EngineGetBlobsOutput to custody columns, refactors the RPC blob parent-root loop, and replaces TODO(EIP-7732) blob_data_available with is_payload_received [raw:lh-files/008.diff]	NONE	Appears to be upstream base-branch drift (gloas/EIP-7732/PeerDAS blob->column transition), not EIP-8025 proof work [raw:lh-files/008.diff]
LH0012	009	beacon_node/beacon_chain/src/blob_verification.rs	removal of GossipBlobError, GossipVerifiedBlob, validate_blob_sidecar_for_gossip, observe_gossip_blob, get_blob_root	modified	C2	NONE	LH-arch-choice	Deletes the entire blob gossip verification path, leaving only KzgVerifiedBlob and validate_blobs [raw:lh-files/009.diff]	NONE	Appears upstream base-branch drift removing pre-PeerDAS blob gossip validation, not EIP-8025 proof work [raw:lh-files/009.diff]
LH0013	010	beacon_node/beacon_chain/src/block_production/mod.rs	removal of proposer_score_boost early-return in re-org check	modified	C6	NONE	LH-arch-choice	Removes the warn+return None guard when proposer_score_boost is None from proposer re-org logic [raw:lh-files/010.diff]	NONE	Appears upstream base-branch drift in proposer re-org handling, not EIP-8025 proof work [raw:lh-files/010.diff]
LH0014	011	beacon_node/beacon_chain/src/block_verification.rs	IntoStaticStr derives; ParentImportStatus refactor; removal of BlobNotRequired + GossipBlobError impls	modified	C6	NONE	LH-arch-choice	Adds IntoStaticStr to BlockError/ExecutionPayloadError, switches parent checks to get_parent_import_status/ParentImportStatus, removes BlobNotRequired variant and GossipBlobError glue [raw:lh-files/011.diff]	NONE	Mix of enum static-string derives and upstream gloas parent-envelope/blob-removal drift, not EIP-8025 proof work [raw:lh-files/011.diff]
LH0015	012	beacon_node/beacon_chain/src/builder.rs	BeaconChain construction: init proof caches + event bus	modified	C-unassigned	NONE	LH-arch-choice	Initializes observed_execution_proofs, execution_proof_statuses and internal_event_tx in the builder and drops observed_blob_sidecars init [raw:lh-files/012.diff]	NONE	Construction wiring for the proof dedup/status caches and integration-test event bus [raw:lh-files/012.diff]
LH0016	013	beacon_node/beacon_chain/src/canonical_head.rs	removal of observed_blob_sidecars pruning	modified	C6	NONE	LH-arch-choice	Drops the observed_blob_sidecars.prune call on finalization update [raw:lh-files/013.diff]	NONE	Appears upstream base-branch drift removing blob-sidecar pruning, not EIP-8025 proof work [raw:lh-files/013.diff]
LH0017	014	beacon_node/beacon_chain/src/chain_config.rs	ExecutionProofQuorumConfig struct + ChainConfig.execution_proof_quorum	modified	C7	NONE	LH-arch-choice	Adds ExecutionProofQuorumConfig{enabled,min_valid_proof_types} defaulting enabled=false, min=MIN_REQUIRED_EXECUTION_PROOFS, gating proof-backed payload promotion [raw:lh-files/014.diff]	NONE	Implementation-specific quorum config; default-off keeps valid proofs as metadata-only supplementary signal [raw:lh-files/014.diff]
LH0018	015	beacon_node/beacon_chain/src/data_availability_checker.rs	removal of put_gossip_verified_blobs, AvailableBlock.spec, blobs_required branch	modified	C6	NONE	LH-arch-choice	Removes put_gossip_verified_blobs and the blobs_required DA branch and drops AvailableBlock.spec field [raw:lh-files/015.diff]	NONE	Appears upstream base-branch drift in DA checking (blob->column/gloas), not EIP-8025 proof work [raw:lh-files/015.diff]
LH0019	016	beacon_node/beacon_chain/src/data_availability_checker/error.rs	IntoStaticStr derive on Error enum	modified	C6	NONE	LH-arch-choice	Adds IntoStaticStr derive to the DA checker Error enum [raw:lh-files/016.diff]	NONE	Enables static-string conversion of DA error variants (metrics/eventing support) [raw:lh-files/016.diff]
LH0020	017	beacon_node/beacon_chain/src/data_availability_checker/overflow_lru_cache.rs	make_available: drop spec param + blob availability branch	modified	C6	NONE	LH-arch-choice	make_available no longer takes spec and returns AvailableBlockData::NoData instead of assembling blob availability [raw:lh-files/017.diff]	NONE	Appears upstream base-branch drift removing pre-PeerDAS blob availability assembly, not EIP-8025 proof work [raw:lh-files/017.diff]
LH0021	017	beacon_node/beacon_chain/src/data_availability_checker/overflow_lru_cache.rs	test module: get_deneb_chain->get_fulu_chain, blob->column migration	modified	C10	NONE	LH-arch-choice	Rewrites overflow_lru_cache tests from GossipVerifiedBlob/deneb to GossipVerifiedDataColumn/fulu custody columns [raw:lh-files/017.diff]	NONE	Appears upstream base-branch drift migrating DA-cache tests to data columns, not EIP-8025 proof work [raw:lh-files/017.diff]
LH0022	018	beacon_node/beacon_chain/src/eip8025/mod.rs	module decls + re-exports	added	C4	NONE	LH-arch-choice	New eip8025 module declaring proof_status and proof_verification submodules and re-exporting their public items [raw:lh-files/018.diff]	NONE	Module glue for EIP-8025 beacon-chain integration; carries doc-comment TODO: integrate into proof engine [raw:lh-files/018.diff]
LH0023	019	beacon_node/beacon_chain/src/eip8025/proof_status.rs	ExecutionProofStatusCache, ExecutionProofBlockStatus, register/lookup + summary/observation structs	added	C3	NONE	LH-arch-choice	Bounded LRU caches (DEFAULT_REQUEST_ROOT_CACHE_SIZE=8192, DEFAULT_PROOF_CACHE_SIZE=8192) storing proof status and request-root<->block-root maps [raw:lh-files/019.diff]	[raw:lh-files/019.diff]	Doc-comment: stores proof status only, unfinalized proof bytes remain hot/prunable and not durably tracked, narrower than EIP retention obligation R002 [raw:lh-files/019.diff]
LH0024	019	beacon_node/beacon_chain/src/eip8025/proof_status.rs	verify_and_observe_execution_proof: dedup, signature, proof-engine gate	added	C2	R012,R013,R015,R018	spec-driven	Rejects via ObservedExecutionProofs (AlreadyHaveValidProof=first valid per request_root+proof_type R012; DuplicateFromValidator=first per validator R013), BLS-verifies the signature R015, and treats proof_engine.verify_execution_proof Invalid as rejection R018 [raw:lh-files/019.diff]	NONE	PROV-SPEC gossip-validation MUSTs from the provisional spec snapshot [OPEN-Q1] [raw:lh-files/019.diff]
LH0025	019	beacon_node/beacon_chain/src/eip8025/proof_status.rs	resolve_execution_proof_block_root, execution_payload_request_context, build_gloas_new_payload_request	added	C3	NONE	LH-arch-choice	Computes new_payload_request_root from stored/gloas blocks and returns ProofStatus::Syncing when the request root is unresolved [raw:lh-files/019.diff]	NONE	Request-root resolution helpers; Syncing-when-unknown relates to queue-until-payload behavior R004/R011 while the gossip forward gate lives in the network layer [raw:lh-files/019.diff]
LH0026	019	beacon_node/beacon_chain/src/eip8025/proof_status.rs	observe_valid_execution_proof quorum + try_mark_proof_backed_payload_valid	added	C6	R001	spec-driven	Consumes valid proofs as a supplementary payload-validity signal: when execution_proof_quorum threshold is met marks the payload/envelope valid via fork choice on_valid_execution_payload/on_valid_payload_envelope_received (R001 proof-verifying mode) [raw:lh-files/019.diff]	NONE	Implementation quorum threshold (execution_proof_quorum, default off) is an LH choice; promotion only when explicitly enabled [raw:lh-files/014.diff] [raw:lh-files/019.diff]
LH0027	019	beacon_node/beacon_chain/src/eip8025/proof_status.rs	execution_proofs_by_range/by_block_root, register_execution_proof_request_window, latest_execution_proof_status, missing_execution_proofs	added	C3	R006	spec-driven	Serves execution proofs by root and by range and registers the serve window over canonical blocks from the finalized checkpoint start slot to head (proof_serve_range) [raw:lh-files/019.diff]	NONE	PROV-SPEC: register_execution_proof_request_window derives the lower bound as finalized_checkpoint.epoch.start_slot, matching the provisional snapshot form rather than the EIP finalized_checkpoint.slot text (R006 divergence) [OPEN-Q1] [raw:lh-files/019.diff]
LH0028	019	beacon_node/beacon_chain/src/eip8025/proof_status.rs	mod tests: latest_status_with_valid_proofs_ignores_empty_and_unconfigured_statuses	added	C10	NONE	LH-arch-choice	Unit test asserting request-root-only statuses do not advertise proofs and only configured proof types surface [raw:lh-files/019.diff]	[raw:lh-files/019.diff]	Test coverage for ExecutionProofStatusCache.latest_status_with_valid_proofs [raw:lh-files/019.diff]
LH0029	020	beacon_node/beacon_chain/src/eip8025/proof_verification.rs	fn verify_signed_execution_proof_signature	added	C2	R015,R016	spec-driven	Rejects empty message.proof_data (EmptyProofData) enforcing the non-empty proof_data gossip check R016 and BLS-verifies signed_proof.signature over the execution-proof signing root rejecting InvalidSignature R015 [raw:lh-files/020.diff]	[raw:lh-files/020.diff]	PROV-SPEC gossip-validation MUSTs from the provisional spec snapshot; verify fn carries TODO: migrate into an impl on BeaconChain and the module doc a TODO: integration into proof engine for end-to-end verification [OPEN-Q1] [raw:lh-files/020.diff]
LH0030	020	beacon_node/beacon_chain/src/eip8025/proof_verification.rs	fn compute_execution_proof_domain, fn compute_signing_root	added	C2	NONE	LH-arch-choice	Computes the execution-proof signing domain from DOMAIN_EXECUTION_PROOF and compute_fork_data_root plus the SigningData signing root, exposed pub for validator-client signing [raw:lh-files/020.diff]	[raw:lh-files/020.diff]	Domain-separation and signing-root helpers supporting signature verification; implementation detail of one reference client [raw:lh-files/020.diff]
LH0031	020	beacon_node/beacon_chain/src/eip8025/proof_verification.rs	enum ExecutionProofError + Display impl + From<ProofEngineError> for BeaconChainError	added	C2	NONE	LH-arch-choice	Defines the ExecutionProofError variant taxonomy (InvalidSignature, EmptyProofData, InvalidValidatorIndex, ProofEngineError, ...) with Display and a From<ProofEngineError> into BeaconChainError [raw:lh-files/020.diff]	NONE	Error-type plumbing for the verification module; module doc-comment carries scaffolding marker TODO: integration into proof engine for end-to-end verification [raw:lh-files/020.diff]
LH0032	020	beacon_node/beacon_chain/src/eip8025/proof_verification.rs	mod tests (test_verify_valid_signature, test_verify_invalid_signature, test_verify_empty_proof_data, test_compute_execution_proof_domain, ...)	added	C10	NONE	LH-arch-choice	Unit tests exercising signature verify success/failure, empty proof data, invalid pubkey/signature format and signing-domain determinism [raw:lh-files/020.diff]	[raw:lh-files/020.diff]	Test coverage for verify_signed_execution_proof_signature and the signing-domain helpers [raw:lh-files/020.diff]
LH0033	021	beacon_node/beacon_chain/src/errors.rs	enum BeaconChainError: ExecutionProofError variant + import + easy_from_to!	modified	C2	NONE	LH-arch-choice	Adds ExecutionProofError(ExecutionProofError) to BeaconChainError with the eip8025::proof_verification import and easy_from_to! conversion [raw:lh-files/021.diff]	NONE	Error-enum wiring exposing execution-proof verification errors on the beacon-chain error type [raw:lh-files/021.diff]
LH0034	022	beacon_node/beacon_chain/src/execution_payload.rs	fn request_execution_proofs + call in notify_new_payload	modified	C5	R001,R009	spec-driven	In proof-generating mode (gated on execution_layer.proof_engine()) requests proofs via proof_engine.request_proofs_ssz for the new_payload_request, dispatched with task_executor.spawn(eip8025_proof_request) so notify_new_payload/block processing is not delayed awaiting proofs R001 R009 [raw:lh-files/022.diff]	NONE	Fire-and-forget proof-request wiring on the new-payload path; proof_types advertised from execution_layer.proof_types [raw:lh-files/022.diff]
LH0035	023	beacon_node/beacon_chain/src/fetch_blobs/fetch_blobs_beacon_adapter.rs	removal of get_blobs_v1, blobs_known_for_observation_key, cached_blob_indexes; process_engine_blobs input retyped to Vec<KzgVerifiedCustodyDataColumn>	modified	C6	NONE	LH-arch-choice	Drops the v1 blob adapter methods and retypes process_engine_blobs input from EngineGetBlobsOutput to Vec<KzgVerifiedCustodyDataColumn> [raw:lh-files/023.diff]	NONE	Appears upstream base-branch drift (PeerDAS blob->data-column adapter), not EIP-8025 proof work [raw:lh-files/023.diff]
LH0036	024	beacon_node/beacon_chain/src/fetch_blobs/mod.rs	removal of EngineGetBlobsOutput enum, fetch_and_process_blobs_v1, build_blob_sidecars; publish_fn retyped; v1 path returns InternalError	modified	C6	NONE	LH-arch-choice	Removes the EngineGetBlobsOutput enum and the v1 blob fetch/sidecar path, retypes publish_fn to Vec<KzgVerifiedCustodyDataColumn> and returns InternalError(fetch blobs v1 no longer supported) [raw:lh-files/024.diff]	NONE	Appears upstream base-branch drift (PeerDAS blob->data-column transition), not EIP-8025 proof work [raw:lh-files/024.diff]
LH0037	025	beacon_node/beacon_chain/src/fetch_blobs/tests.rs	removal of mod get_blobs_v1 tests; extract_published_blobs/mock_publish_fn retyped	modified	C10	NONE	LH-arch-choice	Deletes the get_blobs_v1 test module and retypes the publish-capture test helpers to Vec<KzgVerifiedCustodyDataColumn> [raw:lh-files/025.diff]	NONE	Appears upstream base-branch drift (PeerDAS blob->data-column test migration), not EIP-8025 proof work [raw:lh-files/025.diff]
LH0038	026	beacon_node/beacon_chain/src/internal_events.rs	enum InternalBeaconNodeEvent + INTERNAL_EVENT_CHANNEL_CAPACITY	added	C10	NONE	LH-arch-choice	New module doc Internal event bus for execution-proof integration tests defining InternalBeaconNodeEvent variants (GossipExecutionProof, RpcExecutionProof, OutboundExecutionProofsByRange/ByRoot, ExecutionProofVerified/Failed) [raw:lh-files/026.diff]	NONE	Test-observability event enum compiled into the node for execution-proof integration tests [raw:lh-files/026.diff]
LH0039	027	beacon_node/beacon_chain/src/lib.rs	pub mod eip8025; pub mod internal_events; pub mod observed_execution_proofs;	modified	C-unassigned	NONE	LH-arch-choice	Registers the eip8025, internal_events and observed_execution_proofs modules in the crate root [raw:lh-files/027.diff]	NONE	Top-level module registration for the EIP-8025 beacon-chain integration and its test event bus [raw:lh-files/027.diff]
LH0040	027	beacon_node/beacon_chain/src/lib.rs	block_verification re-export adds ParentImportStatus	modified	C6	NONE	LH-arch-choice	Adds ParentImportStatus to the block_verification public re-export list [raw:lh-files/027.diff]	NONE	Appears upstream base-branch drift (parent-import-status refactor, see index 011), not EIP-8025 proof work [raw:lh-files/027.diff]
LH0041	028	beacon_node/beacon_chain/src/observed_execution_proofs.rs	struct ObservedExecutionProofs + fn check + observe_verification_attempt + observe_valid_proof	added	C2	R012,R013	spec-driven	check() returns AlreadyHaveValidProof when a valid proof already exists for (request_root, proof_type) implementing IGNORE-2 R012 and DuplicateFromValidator for a repeat (request_root, proof_type, validator_index) implementing IGNORE-3 R013 [raw:lh-files/028.diff]	[raw:lh-files/028.diff]	PROV-SPEC gossip IGNORE MUSTs from the provisional spec snapshot; module doc maps IGNORE-2/IGNORE-3 to the p2p-interface rules [OPEN-Q1] [raw:lh-files/028.diff]
LH0042	028	beacon_node/beacon_chain/src/observed_execution_proofs.rs	invalid_proofs cache + fn observe_invalid_proof + fn prune + count helpers	added	C2	NONE	LH-arch-choice	Adds a process-local invalid-proof cache keyed on (proof_type, hash_tree_root(proof_data)) returning AlreadyRejectedProof, plus finalization prune(finalized_slot) over slot_to_request_roots and metric count helpers [raw:lh-files/028.diff]	NONE	Implementation-local dedup optimization and finalization eviction; invalid entries retained until restart per module doc [raw:lh-files/028.diff]
LH0043	028	beacon_node/beacon_chain/src/observed_execution_proofs.rs	mod tests (ignore_2_valid_proof_dedup, ignore_3_validator_dedup, prune_removes_finalized_roots, ...)	added	C10	NONE	LH-arch-choice	Unit tests for the IGNORE-2/IGNORE-3 dedup, invalid-proof-data keying and finalization pruning [raw:lh-files/028.diff]	[raw:lh-files/028.diff]	Test coverage for ObservedExecutionProofs dedup and prune [raw:lh-files/028.diff]
LH0044	029	beacon_node/beacon_chain/src/payload_envelope_verification/import.rs	envelope import: register_execution_payload_request_root(block_root)	modified	C6	NONE	LH-arch-choice	On payload-envelope import calls register_execution_payload_request_root(block_root), warning on error, to cache the block->request-root mapping [raw:lh-files/029.diff]	NONE	Wiring to record the new-payload request root at envelope import for later proof status/serving [raw:lh-files/029.diff]
LH0045	030	beacon_node/beacon_chain/src/payload_envelope_verification/payload_notifier.rs	fn request_execution_proofs + call before notify_new_payload	modified	C5	R001,R009	spec-driven	In proof-generating mode (gated on proof_engine()) requests proofs via proof_engine.request_proofs_ssz for the gloas NewPayloadRequest, dispatched with task_executor.spawn(eip8025_proof_request) so the notify path is not delayed awaiting proofs R001 R009 [raw:lh-files/030.diff]	NONE	Fire-and-forget proof-request wiring on the gloas payload-envelope notify path [raw:lh-files/030.diff]
LH0046	030	beacon_node/beacon_chain/src/payload_envelope_verification/payload_notifier.rs	build_new_payload_request: versioned_hashes collect().try_into() with SszTypesError mapping	modified	C6	NONE	LH-arch-choice	Collects versioned hashes then try_into a fixed-length collection for NewPayloadRequestGloas, mapping failure to BeaconChainError::SszTypesError [raw:lh-files/030.diff]	NONE	Adapts versioned hashes to the fixed-length type required by the gloas new-payload request [raw:lh-files/030.diff]
LH0047	031	beacon_node/beacon_chain/src/test_utils.rs	MakeAttestationOptions.payload_present_override field + make_unaggregated_attestation param threading	modified	C10	NONE	LH-arch-choice	Adds payload_present_override: Option<bool> to MakeAttestationOptions and make_unaggregated_attestation, overriding the post-gloas payload_present encoding when Some [raw:lh-files/031.diff]	NONE	Test-harness knob to force the post-gloas regular-attestation payload_present bit [raw:lh-files/031.diff]
LH0048	031	beacon_node/beacon_chain/src/test_utils.rs	process_gossip_blobs_or_columns -> process_gossip_columns (blob path removed, PeerDAS-only)	modified	C10	NONE	LH-arch-choice	Replaces process_gossip_blobs_or_columns with process_gossip_columns, dropping the blob branch and asserting PeerDAS enabled for the block epoch [raw:lh-files/031.diff]	NONE	Appears upstream base-branch drift (blob->data-column test harness), not EIP-8025 proof work [raw:lh-files/031.diff]
LH0049	031	beacon_node/beacon_chain/src/test_utils.rs	gloas envelope request builder: versioned_hashes collect().try_into().expect	modified	C10	NONE	LH-arch-choice	Collects versioned hashes and try_into a fixed-length collection for the gloas NewPayloadRequestGloas test builder [raw:lh-files/031.diff]	NONE	Test-harness adaptation of versioned hashes to the fixed-length gloas request type [raw:lh-files/031.diff]
LH0050	032	beacon_node/beacon_chain/tests/attestation_production.rs	test gloas_payload_attestation_seen_but_data_unavailable	modified	C10	NONE	LH-arch-choice	Adds a gloas test asserting produce_payload_attestation_data votes payload_present=true but blob_data_available=false for an observed-but-unimported envelope [raw:lh-files/032.diff]	NONE	Appears upstream base-branch drift (gloas payload-attestation behavior), not EIP-8025 proof work [raw:lh-files/032.diff]
LH0051	033	beacon_node/beacon_chain/tests/attestation_verification.rs	MakeAttestationOptions initializers add payload_present_override: None	modified	C10	NONE	LH-arch-choice	Adds payload_present_override: None to four MakeAttestationOptions initializers [raw:lh-files/033.diff]	NONE	Mechanical test update for the MakeAttestationOptions field added in index 031 [raw:lh-files/031.diff] [raw:lh-files/033.diff]
LH0052	034	beacon_node/beacon_chain/tests/block_verification.rs	TODO(gloas) early-return skip guards in chain_segment_* and invalid_signature_* tests	modified	C10	NONE	scaffolding	Adds if fork_name_from_env().gloas_enabled() { return; } guards quoting TODO(gloas): re-enable for Gloas once range sync imports payload envelopes to disable multiple tests under Gloas [raw:lh-files/034.diff]	NONE	Temporary upstream gloas test disables pending range-sync envelope import, not EIP-8025 proof work [raw:lh-files/034.diff]
LH0053	034	beacon_node/beacon_chain/tests/block_verification.rs	verify_and_process_gossip_data_sidecars blob branch stubbed + slashing-detection test uses process_gossip_columns	modified	C10	NONE	LH-arch-choice	Blanks the DataSidecars::Blobs branch (Blob gossip is deprecated) and switches verify_block_for_gossip_slashing_detection to process_gossip_columns [raw:lh-files/034.diff]	NONE	Appears upstream base-branch drift (blob-gossip removal in tests), not EIP-8025 proof work [raw:lh-files/034.diff]
LH0054	034	beacon_node/beacon_chain/tests/block_verification.rs	test gloas_get_head_can_return_justified_empty_payload_branch	modified	C10	NONE	LH-arch-choice	Adds a gloas fork-choice regression test asserting get_head returns the justified root (PayloadStatus::Empty) instead of InvalidBestNode when no leaf is viable [raw:lh-files/034.diff]	NONE	Appears upstream base-branch drift (gloas fork-choice get_head fix), not EIP-8025 proof work [raw:lh-files/034.diff]
LH0055	035	beacon_node/beacon_chain/tests/events.rs	removal of test blob_sidecar_event_on_process_gossip_blob + rand imports	modified	C10	NONE	LH-arch-choice	Deletes the blob_sidecar_event_on_process_gossip_blob SSE test and its rand imports [raw:lh-files/035.diff]	NONE	Appears upstream base-branch drift (blob-gossip event test removal), not EIP-8025 proof work [raw:lh-files/035.diff]
LH0056	036	beacon_node/beacon_chain/tests/payload_invalidation.rs	InvalidHeadSetup assertion update + removal of canonical_head/assert_get_head_error_contains helpers	modified	C10	NONE	LH-arch-choice	Replaces the InvalidBestNode error assertion with get_head returning justified_checkpoint().root and removes the now-unused canonical_head and assert_get_head_error_contains helpers [raw:lh-files/036.diff]	NONE	Appears upstream base-branch drift (fork-choice get_head justified-root fix), not EIP-8025 proof work [raw:lh-files/036.diff]
LH0057	037	beacon_node/beacon_chain/tests/store_tests.rs	weak_subjectivity_sync_test: on_valid_payload_envelope_received(wss_block_root)	modified	C10	NONE	LH-arch-choice	Marks the WSS anchor payload received via fork_choice on_valid_payload_envelope_received to avoid ParentUnknown for the first FULL forward child [raw:lh-files/037.diff]	NONE	Appears upstream base-branch drift (gloas weak-subjectivity envelope sync fix), not EIP-8025 proof work [raw:lh-files/037.diff]
LH0058	038	beacon_node/beacon_processor/src/lib.rs	remove GossipBlobSidecar Work/WorkType/queue; add UnknownBlockDataColumn Work/WorkType + QueuedGossipDataColumn ReadyWork mapping	modified	C6	NONE	LH-arch-choice	Removes the GossipBlobSidecar work variant/type/queue handling and adds UnknownBlockDataColumn work plus the QueuedGossipDataColumn->UnknownBlockDataColumn ReadyWork mapping with drop_during_sync [raw:lh-files/038.diff]	NONE	Appears upstream base-branch drift (PeerDAS blob->data-column processor work types), not EIP-8025 proof work [raw:lh-files/038.diff]
LH0059	039	beacon_node/beacon_processor/src/scheduler/work_queue.rs	remove gossip_blob_queue; add unknown_block_data_column_queue (FifoQueue, len 256)	modified	C6	NONE	LH-arch-choice	Removes gossip_blob_queue from BeaconProcessorQueueLengths/WorkQueues and adds unknown_block_data_column_queue (FifoQueue capacity 256) [raw:lh-files/039.diff]	NONE	Appears upstream base-branch drift (PeerDAS data-column processor queue), not EIP-8025 proof work [raw:lh-files/039.diff]
LH0060	040	beacon_node/beacon_processor/src/scheduler/work_reprocessing_queue.rs	QueuedGossipDataColumn + UnknownBlockDataColumn reprocess message + data_columns_delay_queue + drain on BlockImported + ReadyDataColumn expiry	modified	C6	NONE	LH-arch-choice	Adds gossip data-column reprocessing: QueuedGossipDataColumn, ReprocessQueueMessage::UnknownBlockDataColumn, a data_columns_delay_queue with QUEUED_DATA_COLUMN_DELAY_SLOTS/MAXIMUM_QUEUED_DATA_COLUMNS bounds, drain on BlockImported and ReadyDataColumn expiry [raw:lh-files/040.diff]	NONE	Appears upstream base-branch drift (PeerDAS data-column reprocessing queue), not EIP-8025 proof work [raw:lh-files/040.diff]
LH0061	040	beacon_node/beacon_processor/src/scheduler/work_reprocessing_queue.rs	envelope-full handling changed from evict-oldest to drop-new	modified	C6	NONE	LH-arch-choice	Changes the full awaiting_envelopes_per_root path from evicting the oldest entry to dropping the new envelope (warn Envelope delay queue is full, dropping envelope) [raw:lh-files/040.diff]	NONE	Appears upstream base-branch drift (gloas envelope reprocess-queue semantics), not EIP-8025 proof work [raw:lh-files/040.diff]
LH0062	040	beacon_node/beacon_processor/src/scheduler/work_reprocessing_queue.rs	mod tests: envelope_capacity_evicts_oldest replaced by data_column_released_on_block_imported + prune_awaiting_data_columns_per_root	modified	C10	NONE	LH-arch-choice	Replaces the envelope_capacity_evicts_oldest test with data_column_released_on_block_imported and prune_awaiting_data_columns_per_root [raw:lh-files/040.diff]	NONE	Appears upstream base-branch drift (data-column reprocess-queue tests), not EIP-8025 proof work [raw:lh-files/040.diff]
LH0063	041	beacon_node/execution_layer/Cargo.toml	dep additions: async-stream, async-trait, ethereum_ssz_derive, futures, reqwest-eventsource	modified	C-unassigned	NONE	dependency	Adds async-stream 0.3, async-trait 0.1, ethereum_ssz_derive, futures and reqwest-eventsource 0.6 to execution_layer [raw:lh-files/041.diff]	NONE	Build-manifest change adding async/SSE deps for the proof-engine HTTP transport [raw:lh-files/041.diff]
LH0064	042	beacon_node/execution_layer/src/eip8025/errors.rs	enum ProofEngineError + mod error_codes + Display + From impls	added	C4	NONE	LH-arch-choice	Defines ProofEngineError variants and JSON-RPC error_codes INVALID_HEADER_FORMAT=-39002, INVALID_PAYLOAD=-39003, PROOF_GENERATION_UNAVAILABLE=-39004 [raw:lh-files/042.diff]	NONE	Error taxonomy for the proof-engine HTTP transport; implementation detail of one reference client [raw:lh-files/042.diff]
