req_id	source	section	paraphrased_requirement	rfc_level	pr_delta	contested	evidence	notes
R014	spec-snapshot	The gossip domain: gossipsub > Topics and messages > Global topics > `execution_proof`	A client must reject a gossiped proof unless the validator at validator_index is an active validator in the current epoch.	MUST	n/a	no	[raw:spec-files/012-p2p-interface.md]	Keyed by the umbrella sentence 'The following validations MUST pass before forwarding' covering the gossip rule list [raw:spec-files/012-p2p-interface.md]. The EIP states the same rule without an RFC keyword [raw:eip-8025-post-pr.md]. PROV-SPEC: derived from the provisional spec snapshot [OPEN-Q1].
R015	spec-snapshot	The gossip domain: gossipsub > Topics and messages > Global topics > `execution_proof`	A client must reject a gossiped proof whose signature is not valid with respect to the signing validator's public key.	MUST	n/a	no	[raw:spec-files/012-p2p-interface.md]	Keyed by the umbrella sentence 'The following validations MUST pass before forwarding' covering the gossip rule list [raw:spec-files/012-p2p-interface.md]. The EIP states the same rule without an RFC keyword [raw:eip-8025-post-pr.md]. PROV-SPEC: derived from the provisional spec snapshot [OPEN-Q1].
R016	spec-snapshot	The gossip domain: gossipsub > Topics and messages > Global topics > `execution_proof`	A client must reject a gossiped proof whose proof_data is empty.	MUST	n/a	no	[raw:spec-files/012-p2p-interface.md]	Keyed by the umbrella sentence 'The following validations MUST pass before forwarding' covering the gossip rule list [raw:spec-files/012-p2p-interface.md]. The EIP merges the non-empty and size-bound checks into one keyword-less bullet (see R017) [raw:eip-8025-post-pr.md]. PROV-SPEC: derived from the provisional spec snapshot [OPEN-Q1].
R017	spec-snapshot	The gossip domain: gossipsub > Topics and messages > Global topics > `execution_proof`	A client must reject a gossiped proof whose proof_data is larger than MAX_PROOF_SIZE.	MUST	n/a	no	[raw:spec-files/012-p2p-interface.md]	Keyed by the umbrella sentence 'The following validations MUST pass before forwarding' covering the gossip rule list [raw:spec-files/012-p2p-interface.md]. MAX_PROOF_SIZE = 409600 is listed under constants marked 'not definitive' in the snapshot [raw:spec-files/011-beacon-chain.md]. A reviewer questioned the 400 KiB choice and rationale was added to the EIP in response (jochem-brouwer 2026-05-13T00:26:34Z; thread unresolved but no outstanding objection, so not contested) [raw:eip-threads.md]. The EIP merges this with the non-empty check in one keyword-less bullet (see R016) [raw:eip-8025-post-pr.md]. PROV-SPEC: derived from the provisional spec snapshot [OPEN-Q1].
R018	spec-snapshot	The gossip domain: gossipsub > Topics and messages > Global topics > `execution_proof`	A client must reject a gossiped proof unless all of the conditions within process_execution_proof pass validation.	MUST	n/a	no	[raw:spec-files/012-p2p-interface.md]	Keyed by the umbrella sentence 'The following validations MUST pass before forwarding' covering the gossip rule list [raw:spec-files/012-p2p-interface.md]. The EIP states the same rule without an RFC keyword [raw:eip-8025-post-pr.md]. process_execution_proof itself is specified only as code assertions in the snapshot beacon-chain document [raw:spec-files/011-beacon-chain.md]. PROV-SPEC: derived from the provisional spec snapshot [OPEN-Q1].
R019	spec-snapshot	The Req/Resp domain > Messages > ExecutionProofsByRange	Clients must support serving ExecutionProofsByRange requests for slots within proof_serve_range from their view of the canonical chain.	MUST	n/a	no	[raw:spec-files/012-p2p-interface.md]	EIP-side combined counterpart is R006, which spans both range and root serving [raw:eip-8025-post-pr.md]. PROV-SPEC: derived from the provisional spec snapshot [OPEN-Q1].
R020	spec-snapshot	The Req/Resp domain > Messages > ExecutionProofsByRange	A peer unable to serve an ExecutionProofsByRange request within proof_serve_range should respond with error code 3 (ResourceUnavailable).	SHOULD	n/a	no	[raw:spec-files/012-p2p-interface.md]	The EIP states the ResourceUnavailable response without an RFC keyword (see R007 notes) [raw:eip-8025-post-pr.md]. PROV-SPEC: derived from the provisional spec snapshot [OPEN-Q1].
R021	spec-snapshot	The Req/Resp domain > Messages > ExecutionProofsByRange	Peers that cannot serve proof-range requests may be descored or disconnected at any time.	MAY	n/a	no	[raw:spec-files/012-p2p-interface.md]	EIP counterpart R007 permits descoring only, not disconnection [raw:eip-8025-post-pr.md]. PROV-SPEC: derived from the provisional spec snapshot [OPEN-Q1].
R022	spec-snapshot	The Req/Resp domain > Messages > ExecutionProofsByRange	An ExecutionProofsByRange response must consist of zero or more response chunks, with each successful chunk carrying exactly one SignedExecutionProof.	MUST	n/a	no	[raw:spec-files/012-p2p-interface.md]	Two MUST sentences (zero-or-more chunks; one SignedExecutionProof per successful chunk) form one response-framing requirement [raw:spec-files/012-p2p-interface.md]. PROV-SPEC: derived from the provisional spec snapshot [OPEN-Q1].
R023	spec-snapshot	The Req/Resp domain > Messages > ExecutionProofsByRange	Requesters must keep the total number of proofs requested in one call under compute_max_request_execution_proofs(), so the count field must satisfy count times MAX_EXECUTION_PROOFS_PER_PAYLOAD within that bound.	MUST	n/a	no	[raw:spec-files/012-p2p-interface.md]	Both MUST sentences (total-proof bound and the derived count bound) form one requester-side limit [raw:spec-files/012-p2p-interface.md]. MAX_EXECUTION_PROOFS_PER_PAYLOAD is listed under constants marked 'not definitive' [raw:spec-files/012-p2p-interface.md]. PROV-SPEC: derived from the provisional spec snapshot [OPEN-Q1].
R024	spec-snapshot	The Req/Resp domain > Messages > ExecutionProofsByRange	A client must respond to ExecutionProofsByRange with at least one proof when it holds one within proof_serve_range.	MUST	n/a	no	[raw:spec-files/012-p2p-interface.md]	PROV-SPEC: derived from the provisional spec snapshot [OPEN-Q1].
R025	spec-snapshot	The Req/Resp domain > Messages > ExecutionProofsByRange	A client may limit the number of proofs it returns in an ExecutionProofsByRange response.	MAY	n/a	no	[raw:spec-files/012-p2p-interface.md]	PROV-SPEC: derived from the provisional spec snapshot [OPEN-Q1].
R026	spec-snapshot	The Req/Resp domain > Messages > ExecutionProofsByRange	Clients should return ExecutionProofsByRange proofs in slot-ascending order within the requested range.	SHOULD	n/a	no	[raw:spec-files/012-p2p-interface.md]	PROV-SPEC: derived from the provisional spec snapshot [OPEN-Q1].
R027	spec-snapshot	The Req/Resp domain > Messages > ExecutionProofsByRoot	Clients must support serving ExecutionProofsByRoot requests for any canonical-chain block root whose slot is within proof_serve_range.	MUST	n/a	no	[raw:spec-files/012-p2p-interface.md]	EIP-side combined counterpart is R006 [raw:eip-8025-post-pr.md]. PROV-SPEC: derived from the provisional spec snapshot [OPEN-Q1].
R028	spec-snapshot	The Req/Resp domain > Messages > ExecutionProofsByRoot	A peer unable to serve an ExecutionProofsByRoot request should respond with error code 3 (ResourceUnavailable).	SHOULD	n/a	no	[raw:spec-files/012-p2p-interface.md]	The EIP states the ResourceUnavailable response without an RFC keyword (see R007 notes) [raw:eip-8025-post-pr.md]. PROV-SPEC: derived from the provisional spec snapshot [OPEN-Q1].
R029	spec-snapshot	The Req/Resp domain > Messages > ExecutionProofsByRoot	An ExecutionProofsByRoot response must consist of zero or more response chunks, with each successful chunk carrying exactly one SignedExecutionProof.	MUST	n/a	no	[raw:spec-files/012-p2p-interface.md]	Same response-framing sentence pair as R022, restated for ByRoot [raw:spec-files/012-p2p-interface.md]. PROV-SPEC: derived from the provisional spec snapshot [OPEN-Q1].
R030	spec-snapshot	The Req/Resp domain > Messages > ExecutionProofsByRoot	A client must respond to ExecutionProofsByRoot with at least one proof when it holds one within proof_serve_range.	MUST	n/a	no	[raw:spec-files/012-p2p-interface.md]	PROV-SPEC: derived from the provisional spec snapshot [OPEN-Q1].
R031	spec-snapshot	The Req/Resp domain > Messages > ExecutionProofsByRoot	A client may limit the number of proofs it returns in an ExecutionProofsByRoot response.	MAY	n/a	no	[raw:spec-files/012-p2p-interface.md]	PROV-SPEC: derived from the provisional spec snapshot [OPEN-Q1].
R032	spec-snapshot	The Req/Resp domain > Messages > ExecutionProofStatus	Peers should use the proof_types field of ExecutionProofStatus to inform proof-type selection during synchronization.	SHOULD	n/a	no	[raw:spec-files/012-p2p-interface.md]	The preceding description of proof_types as a dynamic capability advertisement is descriptive; only the selection guidance is keyword-keyed [raw:spec-files/012-p2p-interface.md]. PROV-SPEC: derived from the provisional spec snapshot [OPEN-Q1].
R033	spec-snapshot	The Req/Resp domain > Messages > ExecutionProofStatus	ExecutionProofStatus requests and responses must be encoded as an SSZ container.	MUST	n/a	no	[raw:spec-files/012-p2p-interface.md]	PROV-SPEC: derived from the provisional spec snapshot [OPEN-Q1].
R034	spec-snapshot	The Req/Resp domain > Messages > ExecutionProofStatus	An ExecutionProofStatus response must consist of a single response chunk.	MUST	n/a	no	[raw:spec-files/012-p2p-interface.md]	PROV-SPEC: derived from the provisional spec snapshot [OPEN-Q1].
R035	spec-snapshot	The Req/Resp domain > Messages > ExecutionProofStatus	On receiving an ExecutionProofStatus request, the responder must reply with its own local execution proof status.	MUST	n/a	no	[raw:spec-files/012-p2p-interface.md]	PROV-SPEC: derived from the provisional spec snapshot [OPEN-Q1].
R036	spec-snapshot	The Req/Resp domain > Messages > ExecutionProofStatus	The requester should use a peer's ExecutionProofStatus response to inform peer selection during execution-proof synchronization.	SHOULD	n/a	no	[raw:spec-files/012-p2p-interface.md]	Distinct from R032: R032 concerns proof-type selection from the proof_types field, this row concerns peer selection from the status response [raw:spec-files/012-p2p-interface.md]. PROV-SPEC: derived from the provisional spec snapshot [OPEN-Q1].
